Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
412,Shakti Sky Avenue ,Sector 34 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1180.0,8135.0,7.0,2,2,96.0
413,Delta Tower ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1285.0,8560.0,3.0,2,2,110.0
414,LK Prince Tower ,Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1100.0,7636.0,9.0,2,2,84.0
415,Suyog Jeevan Anand ,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,360.0,21388.0,1.0,1,1,77.0
416,Sai Chhaya Sadan CHS ,Ambika Nagar Mumbai Beyond Thane Mumbai,Mumbai Thane,10+ Year,Ready To Move,Built Up Area,515.0,8155.0,2.0,1,1,42.0
417,Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150.0,14347.0,7.0,2,2,165.0
418,Unnamed Property,401 Naupada Thane Mumbai,Naupada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,730.0,19000.0,4.0,1,1,95.0
419,Unnamed Property,Worli Hill Road Opp Jari Mari Mata Mandir Worli Hill South Mumbai Mumbai,Hill Mumbai,10+ Year,Ready To Move,Super Built Up Area,675.0,40740.0,3.0,2,2,275.0
420,Shree Ostwal Point ,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,185.0,18108.0,3.0,1,1,33.5
421,Unnamed Property,Jogeshwari West Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Carpet Area,580.0,24655.0,1.0,2,1,118.0
422,Unnamed Property,Xxx Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1300.0,10000.0,2.0,2,2,130.0
423,Unnamed Property,Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,775.0,38580.0,4.0,2,2,299.0
424,Sheffield Towers ,Lokhandwala Andheri West Mumbai,Lokhandwala Andheri,10+ Year,Ready To Move,Super Built Up Area,1050.0,29523.0,6.0,2,2,310.0
425,Unnamed Property,Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,900.0,10777.0,1.0,2,2,97.0
426,Ashok Nagar ,Balkum Thane Mumbai,Balkum Thane,5 to 10 Year,Ready To Move,Built Up Area,890.0,10224.0,1.0,1,2,101.0
427,Unnamed Property,Thane West Thane Mumbai,Thane Thane,10+ Year,Ready To Move,Carpet Area,1500.0,16666.0,3.0,3,3,250.0
428,DSK Madhuban ,A2 107 Sakinaka Mumbai,A Sakinaka,5 to 10 Year,Ready To Move,Super Built Up Area,1203.0,14962.0,1.0,2,2,160.0
429,Unnamed Property,Shastri Nagar Mumbai,Shastri Nagar,10+ Year,Ready To Move,Built Up Area,800.0,30625.0,4.0,2,2,245.0
430,Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Carpet Area,460.0,32608.0,8.0,1,2,150.0
431,Unnamed Property,Sion Koliwada Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,350.0,19911.0,21.0,1,1,69.7
432,Unnamed Property,Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Super Built Up Area,785.0,18471.0,2.0,2,2,145.0
433,Shree Niketan ,Shankar Pada Mumbai,Shankar Pada,5 to 10 Year,Ready To Move,Carpet Area,644.0,22049.0,6.0,2,2,142.0
434,Unnamed Property,Thane West Thane Mumbai,Thane Thane,5 to 10 Year,Ready To Move,Carpet Area,692.0,19508.0,4.0,3,2,135.0
435,Unnamed Property,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,1300.0,5538.0,1.0,3,3,72.0
436,Unnamed Property,111 Sector 10 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1110.0,7207.0,12.0,2,2,80.0
437,Neelkanth Vishwa ,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,670.0,6417.0,1.0,1,1,43.0
438,Balaji Symphony ,G Wing New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1055.0,9668.0,17.0,2,2,102.0
439,Unnamed Property,Plot No 87 Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,675.0,9259.0,3.0,1,1,62.5
440,Trishul Terraces ,1802 Sector 20 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1000.0,35000.0,18.0,3,3,350.0
441,Lalani Grandeur ,1801 Goregaon East Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Carpet Area,410.0,30243.0,18.0,1,2,124.0
442,Unnamed Property,GuruTeg Bahadur Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,600.0,20833.0,6.0,2,2,125.0
443,Unnamed Property,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,750.0,7066.0,1.0,1,2,53.0
444,Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000.0,6800.0,3.0,2,2,68.0
445,Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1350.0,10370.0,8.0,2,2,140.0
446,Bhagwati Greens ,1501 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1943.875,16279.0,15.0,3,3,350.0
447,Unnamed Property,Kashigaon Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,580.0,12857.0,5.0,1,2,54.0
448,Hiranandani Eagleridge ,6001 Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,1 to 5 Year,Ready To Move,Carpet Area,950.0,22631.0,6.0,3,3,215.0
449,Sudama Regency ,Khardipada Thane Mumbai,Khardipada Thane,1 to 5 Year,Ready To Move,Carpet Area,420.0,7380.0,5.0,1,1,31.0
450,Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050.0,7619.0,25.5,2,2,80.0
451,Unnamed Property,Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1070.0,10280.0,7.0,2,2,110.0
452,Westin Eksar Gurukripa CHSL ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,611.0,32733.0,12.0,2,2,200.0
453,Anurag Residency ,111 Sector 9 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,950.0,7368.0,5.0,2,2,70.0
454,Prabhu Anant ,Roadpali Navi Mumbai Mumbai,Roadpali Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,409.0,9902.0,4.0,1,1,40.5
455,Pragati Satkar Tower ,302 Katemanivali Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Built Up Area,710.0,5704.0,3.0,1,2,40.5
456,Kohinoor City Mumbai ,Phase 1 kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1341.0,23117.0,1.0,3,3,310.0
457,Neelkanth Vishwa ,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,879.0,6598.0,1.0,2,2,58.0
458,Unnamed Property,Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1100.0,5409.0,7.0,2,2,59.5
459,Shah Alpine ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675.0,9777.0,11.0,1,1,66.0
460,Unnamed Property,Ground Floor Dahisar East Mumbai,Floor Dahisar,10+ Year,Ready To Move,Carpet Area,450.0,17333.0,0.0,1,1,78.0
461,Unnamed Property,Rabale Navi Mumbai Mumbai,Rabale Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,480.0,25000.0,3.0,2,2,120.0
462,5P Bhagwati Heritage ,Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1225.0,9469.0,3.0,2,2,116.0
463,Jai Gurudeo Complex ,Sector 17 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1150.0,9217.0,5.0,2,2,106.0
464,Unnamed Property,Sector 58 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1110.0,22072.0,6.0,2,3,245.0
465,Hiranandani Castle Rock ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,778.0,41645.0,3.0,2,2,324.0
466,Om Shanti ,302 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,635.0,8818.0,3.0,1,1,56.0
467,Unnamed Property,Poonam Garden mira Road Unique Aurum Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,1090.0,10642.0,19.0,2,2,112.0
468,Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1055.0,8530.0,21.0,2,2,90.0
469,Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Carpet Area,852.77,8794.0,23.0,3,2,75.0
470,Varsha Balaji Darshan ,Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,8750.0,3.0,2,2,105.0
471,Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,950.0,17368.0,10.0,3,3,165.0
472,Hiranandani Fortune City ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,400.0,13500.0,17.0,1,1,54.0
473,Vaishnavi Highlife ,Kalyan East Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,700.0,10857.0,22.0,2,2,76.0
474,Unnamed Property,M G Complex Sector 14 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1450.0,21449.0,11.0,3,3,311.0
475,Ashar Edge ,Pokhran 2 Thane Mumbai,Pokhran Thane,0 to 1 Year,Ready To Move,Carpet Area,727.0,22696.0,25.5,2,2,165.0
476,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,798.0,7957.0,8.0,3,2,63.5
477,Unnamed Property,Near Kaka Dhaba Kalyan East Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,500.0,4000.0,3.0,1,1,22.0
478,Aaron Moreshwar complex ,Plot Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690.0,7681.0,6.0,1,1,53.0
479,Space India Alliance ,Walking From Station Sector 17 Khanda Colony Navi Mumbai Mumbai,Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,680.0,8823.0,13.0,1,2,60.0
480,Space India Alliance ,New Project Sector 17 Khanda Colony Navi Mumbai Mumbai,Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050.0,8380.0,13.0,2,2,88.0
481,Sun Bhoomi Heights ,Near Kk Cinema Sector 31 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1650.0,7575.0,5.0,3,3,125.0
482,Unnamed Property,Shahpur Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1100.0,2727.0,2.0,2,2,30.0
483,Unnamed Property,Santacruz West Mumbai South West Mumbai,Santacruz Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1400.0,43437.375,7.0,3,3,399.5
484,Nidhi Pramila Avenue ,Titwala Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,650.0,5930.0,7.0,1,1,25.5
485,Mahavir Kalpavruksha ,Ghodbunder Road Thane Mumbai,Road Thane,1 to 5 Year,Ready To Move,Carpet Area,430.0,13720.0,15.0,1,2,59.0
486,Unique Poonam Estate Cluster 2 ,180 Mira Road Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,1040.0,11057.0,18.0,2,2,115.0
487,Lok Sarita ,Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Built Up Area,520.0,20769.0,5.0,1,1,108.0
488,Aryan One ,A Wing Flat No 308 Badlapur Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,758.0,4485.0,3.0,1,1,34.0
489,Snow Drop ,IC Colony Mumbai,Ic Colony,1 to 5 Year,Ready To Move,Carpet Area,420.0,27380.0,4.0,1,2,115.0
490,Om Aditya Paraiso ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,670.0,6716.0,15.0,1,2,45.0
491,Unnamed Property,D 002 Badlapur West Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Built Up Area,578.0,3979.0,0.0,1,2,23.0
492,Vijay Galaxy ,1306 Vijay Nagari Thane Mumbai,Nagari Thane,5 to 10 Year,Ready To Move,Carpet Area,650.0,17692.0,13.0,2,2,115.0
493,Lodha New Cuffe Parade ,3601 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1395.0,20071.0,25.5,2,2,280.0
494,Unnamed Property,Ghodbunder Road Thane Mumbai,Road Thane,5 to 10 Year,Ready To Move,Built Up Area,1450.0,12275.0,9.0,3,3,175.0
495,Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,700.0,7857.0,3.0,1,2,55.0
496,Raunak Delight ,Owale Thane Mumbai,Owale Thane,1 to 5 Year,Ready To Move,Super Built Up Area,575.0,8347.0,8.0,1,1,48.0
497,Raunak Unnathi Greens ,Ghodbunder Road Thane Mumbai,Road Thane,1 to 5 Year,Ready To Move,Super Built Up Area,660.0,7121.0,13.0,1,2,47.0
498,Puraniks Hometown ,Kasar vadavali Thane Mumbai,Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,438.0,13470.0,10.0,1,2,59.0
499,Reliable Balaji Shrishti ,Sector 20 Roadpali Navi Mumbai Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1090.0,7889.0,6.0,2,2,86.0
500,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,405.0,7654.0,1.0,1,1,31.0
501,Budget Homes The Nest ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,270.0,22222.0,11.0,1,1,60.0
502,The Pearl ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,935.0,6844.0,4.0,2,2,64.0
503,Unnamed Property,Lokpuram Thane Mumbai,Lokpuram Thane,10+ Year,Ready To Move,Built Up Area,565.0,11681.0,3.0,1,1,66.0
504,Satyam Heritage ,201 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1100.0,15454.0,2.0,2,2,170.0
505,Sai Vihar CHS ,1003 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1164.0,9450.0,10.0,2,2,110.0
506,Rupa Suyash Park ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,7500.0,6.0,2,2,90.0
507,Silverlite 56 West ,Vile Parle West Mumbai South West Mumbai,Parle Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,684.0,40204.0,1.0,2,3,275.0
508,Unnamed Property,Pokhran 2 Thane Mumbai,Pokhran Thane,1 to 5 Year,Ready To Move,Carpet Area,798.0,25689.0,25.5,2,2,205.0
509,Balaji Delta Tower 2 ,Sector 8 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1345.0,9442.0,6.0,2,2,127.0
510,Unnamed Property,Flat No A 1702 A Wing S V P Nagar Plot No 24 Mhada Versova Mumbai,Mhada Versova,5 to 10 Year,Ready To Move,Carpet Area,1010.0,21287.0,17.0,3,3,215.0
511,M K Fatima Heights ,Bhendi Bazaar South Mumbai Mumbai,Bazaar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,460.0,28260.0,11.0,1,2,130.0
512,Unnamed Property,Mulund East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,480.0,22916.0,16.0,1,1,110.0
513,Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,540.0,12800.0,3.0,1,2,80.0
514,Lodha Palava City ,0000 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,764.0,8507.0,1.0,2,2,65.0
515,Unnamed Property,Lokhandwala Andheri West Mumbai,Lokhandwala Andheri,0 to 1 Year,Ready To Move,Carpet Area,900.0,31111.0,15.0,2,2,280.0
516,Unnamed Property,Gopinath Chowk Mahatma Phule Road Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1035.0,8212.0,6.0,2,2,85.0
517,Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,569.0,13181.0,10.0,1,2,75.0
518,BM Bunch Berry ,105 Sai Nagar Mumbai,Sai Nagar,10+ Year,Ready To Move,Built Up Area,350.0,23571.0,1.0,1,1,82.5
519,Vijaya Heritage ,Central Avenue Road Near Diamond Garden Chembur Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1800.0,22166.0,10.0,3,3,399.0
520,Sukhsagar Residency ,B1 303 Anu Nagar Thane Mumbai,Nagar Thane,10+ Year,Ready To Move,Carpet Area,400.0,10000.0,3.0,1,1,45.0
521,Unnamed Property,Sector 1 Koparkhairane Sector 1 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Plot Area,200.0,34500.0,3.0,3,3,69.0
522,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,10+ Year,Ready To Move,Super Built Up Area,806.0,10669.0,2.0,2,2,86.0
523,Ravechi Height ,111 Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690.0,9202.0,11.0,1,2,63.5
524,Paradigm Ananda Residency ,Shivaji Nagar Mumbai,Shivaji Nagar,1 to 5 Year,Ready To Move,Carpet Area,665.0,27067.0,13.0,2,2,180.0
525,Unnamed Property,Near Kandarpada Talav Dahisar West Kandarpada Mumbai,Dahisar Kandarpada,10+ Year,Ready To Move,Carpet Area,300.0,21666.0,2.0,1,1,65.0
526,Juhi Residency ,Sector 5 Kamothe Sector 5 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1200.0,13000.0,12.0,2,2,104.0
527,Gundecha Asta ,Sakinaka Mumbai,Sakinaka Mumbai,1 to 5 Year,Ready To Move,Carpet Area,900.0,22222.0,7.0,3,2,200.0
528,Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390.0,9743.0,11.0,1,2,38.0
529,Aastha Palace ,Sector 16 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,725.0,11836.0,15.0,1,2,58.0
530,Shah Alpine ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675.0,9555.0,6.0,1,1,64.5
531,Poonam Pallazo ,Nalasopara West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,315.0,9523.0,1.0,1,1,30.0
532,Unnamed Property,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,5 to 10 Year,Ready To Move,Super Built Up Area,700.0,15230.0,3.0,2,2,99.0
533,Rekhi Sai Daffodils ,0000 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1080.0,7222.0,5.0,2,2,78.0
534,Vikas Ritz ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,602.0,11627.0,2.0,2,2,70.0
535,Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1300.0,16153.0,3.0,3,2,210.0
536,Hiranandani Jasper ,9001 Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,5 to 10 Year,Ready To Move,Carpet Area,750.0,19333.0,9.0,2,2,145.0
537,Divya Heights ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060.0,5188.0,7.0,2,2,55.0
538,Urja Green Valley Feather ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,5714.0,9.0,1,1,40.0
539,Saj Shrushti ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,620.0,4032.0,3.0,1,1,25.0
540,Unnamed Property,Sector 11 Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,750.0,28800.0,14.0,2,2,216.0
541,Unnamed Property,Malad West Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,711.0,15471.0,1.0,2,2,110.0
542,Unnamed Property,Near Sbi Bank Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,710.0,8239.0,9.0,1,1,58.5
543,Pushp Kalash Apartment ,Near Neelkanth Sweets Kamothe Sector 16 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1015.0,7192.0,11.0,2,2,73.0
544,Aurum Q Residences ,Near Thane Belapur Highway Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1265.0,22134.0,22.0,3,3,280.0
545,Aurum Q Residences ,Near Thane Belapur Highway Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,645.0,27131.0,21.0,2,2,175.0
546,Unnamed Property,Sector 5 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,515.0,11262.0,4.0,1,1,58.0
547,Shah Royale ,Sector 2 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1040.0,13076.0,4.0,2,2,136.0
548,Royal Galaxy ,Taloja Panchanand Navi Mumbai Mumbai,Panchanand Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,680.0,4852.0,4.0,1,1,33.0
549,Ajmera New Era ,Opp Kdmc Bus Depot Murbad Road Kalyan West Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,711.0,6615.0,6.0,1,2,48.0
550,Piramal Vaikunth ,3 Bhk New Flat Available Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Built Up Area,1670.0,17964.0,7.0,3,3,300.0
551,Hiranandani Atlantis ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,762.0,43437.375,16.0,2,2,370.0
552,Paradise Sai Solitaire ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1943.875,8684.0,10.0,3,3,175.0
553,Rustomjee Azziano ,Majiwada Thane Mumbai,Majiwada Thane,1 to 5 Year,Ready To Move,Built Up Area,1048.0,15267.0,25.5,2,2,160.0
554,Runwal Forests ,Near Mangtram Petrol Pump Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1135.0,25991.0,13.0,3,2,295.0
555,Earth Aditya Heights ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,10476.0,13.0,2,2,110.0
556,Unnamed Property,501 Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Built Up Area,300.0,18333.0,5.0,1,1,55.0
557,Balaji Heights ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1200.0,10583.0,18.0,2,2,127.0
558,Siddharth Geetanjali Sujay ,Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615.0,10526.0,9.0,3,3,170.0
559,Windfield Keshav Winds ,Owe Village Navi Mumbai Mumbai,Village Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100.0,9046.0,16.0,2,2,99.5
560,Godrej The Trees ,Pirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,640.0,26250.0,2.0,1,1,168.0
561,Dosti Imperia ,3 Bhk Hill Facing Flat Available Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Built Up Area,1835.0,14604.0,22.0,3,3,268.0
562,Shital Tapovan Heights ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,670.0,8955.0,9.0,1,2,60.0
